itrial,n,dgp,method,rmse,coverage,width,coverage_type,time,num_outliers
1,100,linear,CV+ RF,4.531696193435714,0.74,9.627049460951518,Overall,0.27487778663635254,77
1,100,linear,CV+ RF,3.819935281048979,0.8260869565217391,9.610241495324443,Interior,0.27487778663635254,77
1,100,linear,CV+ RF,4.723543149662499,0.7142857142857143,9.632070022112853,Exterior,0.27487778663635254,77
1,150,linear,XBART,3.151703136790431,0.6333333333333333,5.675009482210522,Overall,0.39800214767456055,98
1,150,linear,XBART,2.519487865668011,0.7307692307692307,5.84588901902897,Interior,0.39800214767456055,98
1,150,linear,XBART,3.440304782854485,0.5816326530612245,5.584338707572161,Exterior,0.39800214767456055,98
1,150,linear,XBART-GP,2.211511122104588,0.9,6.61132095219806,Overall,2.402702569961548,98
1,150,linear,XBART-GP,2.0392638441581683,0.9230769230769231,5.966006628960462,Interior,2.402702569961548,98
1,150,linear,XBART-GP,2.297670006861265,0.8877551020408163,6.953732633915969,Exterior,2.402702569961548,98
1,150,linear,jackknife+ XBART,2.700286705557742,0.74,6.108201979540334,Overall,54.7740433216095,98
1,150,linear,jackknife+ XBART,2.158081753611028,0.8076923076923077,6.047401718426788,Interior,54.7740433216095,98
1,150,linear,jackknife+ XBART,2.947762498667253,0.7040816326530612,6.140463342580174,Exterior,54.7740433216095,98
1,150,linear,jackknife+ RF,4.120058159096496,0.68,8.939721920449118,Overall,6.401275157928467,98
1,150,linear,jackknife+ RF,3.3908296737964485,0.75,8.927010201764764,Interior,6.401275157928467,98
1,150,linear,jackknife+ RF,4.4588253916345355,0.6428571428571429,8.946466914036735,Exterior,6.401275157928467,98
1,150,linear,CV+ XBART,2.666772600028368,0.7466666666666667,6.242289912951562,Overall,3.432999610900879,98
1,150,linear,CV+ XBART,2.089052142003389,0.8846153846153846,6.24587473540512,Interior,3.432999610900879,98
1,150,linear,CV+ XBART,2.9273798878004214,0.673469387755102,6.240387762261917,Exterior,3.432999610900879,98
1,150,linear,CV+ RF,4.12524041613392,0.7,9.137185965534982,Overall,0.39015841484069824,98
1,150,linear,CV+ RF,3.436617245609905,0.7884615384615384,9.146198734556597,Interior,0.39015841484069824,98
1,150,linear,CV+ RF,4.447544257972189,0.6530612244897959,9.132403679931674,Exterior,0.39015841484069824,98
1,200,linear,XBART,2.763452003152244,0.67,5.669296738005753,Overall,0.48796820640563965,126
1,200,linear,XBART,2.356060337177926,0.7702702702702703,5.618507036041513,Interior,0.48796820640563965,126
1,200,linear,XBART,2.9768390229335155,0.6111111111111112,5.699125610587925,Exterior,0.48796820640563965,126
1,200,linear,XBART-GP,1.885666962214315,0.91,6.167482172023872,Overall,3.204348564147949,126
1,200,linear,XBART-GP,2.024062402930856,0.8378378378378378,5.679435285195517,Interior,3.204348564147949,126
1,200,linear,XBART-GP,1.7994325853163933,0.9523809523809523,6.454112883335764,Exterior,3.204348564147949,126
1,200,linear,jackknife+ XBART,2.5365612809808815,0.755,6.114369827735072,Overall,85.05240440368652,126
1,200,linear,jackknife+ XBART,2.176705318637823,0.8243243243243243,6.108890548854222,Interior,85.05240440368652,126
1,200,linear,jackknife+ XBART,2.7258509944901004,0.7142857142857143,6.117587816919066,Exterior,85.05240440368652,126
1,200,linear,jackknife+ RF,3.853087526188252,0.69,8.200259767869005,Overall,11.609550952911377,126
1,200,linear,jackknife+ RF,3.2150472092818774,0.7837837837837838,8.20623941472373,Interior,11.609550952911377,126
1,200,linear,jackknife+ RF,4.182686900925669,0.6349206349206349,8.19674791177972,Exterior,11.609550952911377,126
1,200,linear,CV+ XBART,2.5356709703866804,0.8,6.521950068645867,Overall,4.068547964096069,126
1,200,linear,CV+ XBART,2.1360791590799444,0.8648648648648649,6.477692885811701,Interior,4.068547964096069,126
1,200,linear,CV+ XBART,2.743355211894221,0.7619047619047619,6.547942382373872,Exterior,4.068547964096069,126
1,200,linear,CV+ RF,3.872101054186907,0.72,8.750787013257607,Overall,0.5238590240478516,126
1,200,linear,CV+ RF,3.253837398889474,0.7972972972972973,8.703849050130177,Interior,0.5238590240478516,126
